date,product_id,event_type,quantity,expected_delivery,cost,stockout,stockout_cost
2022-01-11,P003,delivery,145,,0.0,,
2022-01-03,P003,inventory,0,,0.0,True,735.67
2022-01-03,P004,reorder,109,2022-01-07,708.9,,
2022-01-07,P004,delivery,109,,0.0,,
2022-01-03,P004,inventory,0,,0.0,True,287.7
2022-01-03,P005,reorder,112,2022-01-07,908.67,,
2022-01-07,P005,delivery,112,,0.0,,
2022-01-03,P005,inventory,0,,0.0,True,348.18
2022-01-03,P006,reorder,109,2022-01-09,3204.87,,
2022-01-09,P006,delivery,109,,0.0,,
2022-01-03,P006,inventory,0,,0.0,True,1262.43
2022-01-03,P007,reorder,58,2022-01-07,1336.63,,
2022-01-07,P007,delivery,58,,0.0,,
2022-01-03,P007,inventory,0,,0.0,True,561.52
2022-01-03,P008,reorder,60,2022-01-07,4045.45,,
2022-01-07,P008,delivery,60,,0.0,,
2022-01-03,P008,inventory,0,,0.0,True,3351.88
2022-01-03,P009,reorder,120,2022-01-05,923.44,,
2022-01-05,P009,delivery,120,,0.0,,
2022-01-03,P009,inventory,0,,0.0,True,231.27
2022-01-03,P010,reorder,134,2022-01-09,2792.54,,
2022-01-09,P010,delivery,134,,0.0,,
2022-01-03,P010,inventory,0,,0.0,True,384.77
2022-01-04,P001,reorder,81,2022-01-10,4645.06,,
2022-01-10,P001,delivery,81,,0.0,,
2022-01-04,P001,inventory,0,,0.0,True,1759.87
2022-01-04,P002,reorder,141,2022-01-11,4041.78,,
2022-01-11,P002,delivery,141,,0.0,,
2022-01-04,P002,inventory,0,,0.0,True,846.28
2022-01-04,P003,reorder,106,2022-01-11,3322.26,,
2022-01-11,P003,delivery,106,,0.0,,
2022-01-04,P003,inventory,0,,0.0,True,886.58
2022-01-04,P004,reorder,67,2022-01-06,441.07,,
2022-01-06,P004,delivery,67,,0.0,,
2022-01-04,P004,inventory,0,,0.0,True,287.7
2022-01-04,P005,reorder,110,2022-01-08,892.72,,
2022-01-08,P005,delivery,110,,0.0,,
2022-01-04,P005,inventory,0,,0.0,True,326.42
2022-01-04,P006,reorder,85,2022-01-05,2506.32,,
2022-01-05,P006,delivery,85,,0.0,,
2022-01-04,P006,inventory,0,,0.0,True,1040.65
2022-01-04,P007,reorder,70,2022-01-07,1609.21,,
2022-01-07,P007,delivery,70,,0.0,,
2022-01-04,P007,inventory,0,,0.0,True,395.82
2022-01-04,P008,reorder,71,2022-01-09,4778.56,,
2022-01-09,P008,delivery,71,,0.0,,
2022-01-04,P008,inventory,0,,0.0,True,3351.88
2022-01-04,P009,reorder,52,2022-01-06,408.89,,
2022-01-06,P009,delivery,52,,0.0,,
2022-01-04,P009,inventory,0,,0.0,True,302.43
2022-01-04,P010,reorder,127,2022-01-09,2647.75,,
2022-01-09,P010,delivery,127,,0.0,,
2022-01-04,P010,inventory,0,,0.0,True,423.25
2022-01-05,P001,reorder,62,2022-01-12,3567.76,,
2022-01-12,P001,delivery,62,,0.0,,
2022-01-05,P001,inventory,0,,0.0,True,2257.22
2022-01-05,P002,reorder,72,2022-01-11,2078.87,,
2022-01-11,P002,delivery,72,,0.0,,
2022-01-05,P002,inventory,0,,0.0,True,661.63
2022-01-05,P003,reorder,87,2022-01-12,2731.61,,
2022-01-12,P003,delivery,87,,0.0,,
2022-01-05,P003,inventory,0,,0.0,True,867.71
2022-01-05,P004,inventory,37,,0.22,False,0.0
2022-01-05,P005,reorder,144,2022-01-07,1163.8,,
2022-01-07,P005,delivery,144,,0.0,,
2022-01-05,P005,inventory,0,,0.0,True,536.78
2022-01-05,P006,reorder,100,2022-01-08,2942.91,,
2022-01-08,P006,delivery,100,,0.0,,
2022-01-05,P006,inventory,0,,0.0,True,887.12
2022-01-05,P007,reorder,71,2022-01-10,1631.92,,
2022-01-10,P007,delivery,71,,0.0,,
2022-01-05,P007,inventory,0,,0.0,True,515.49
2022-01-05,P008,reorder,59,2022-01-10,3978.8,,
2022-01-10,P008,delivery,59,,0.0,,
2022-01-05,P008,inventory,0,,0.0,True,3301.09
2022-01-05,P009,reorder,135,2022-01-06,1036.95,,
2022-01-06,P009,delivery,135,,0.0,,
2022-01-05,P009,inventory,0,,0.0,True,296.5
2022-01-05,P010,reorder,147,2022-01-10,3061.45,,
2022-01-10,P010,delivery,147,,0.0,,
2022-01-05,P010,inventory,0,,0.0,True,365.53
2022-01-06,P001,reorder,51,2022-01-15,2944.06,,
2022-01-15,P001,delivery,51,,0.0,,
2022-01-06,P001,inventory,0,,0.0,True,1606.84
2022-01-06,P002,reorder,136,2022-01-15,3899.54,,
2022-01-15,P002,delivery,136,,0.0,,
2022-01-06,P002,inventory,0,,0.0,True,707.79
2022-01-06,P003,reorder,84,2022-01-12,2638.35,,
2022-01-12,P003,delivery,84,,0.0,,
2022-01-06,P003,inventory,0,,0.0,True,1075.21
2022-01-06,P004,reorder,69,2022-01-09,453.82,,
2022-01-09,P004,delivery,69,,0.0,,
2022-01-06,P004,inventory,0,,0.0,True,120.84
2022-01-06,P005,reorder,106,2022-01-10,860.83,,
2022-01-10,P005,delivery,106,,0.0,,
2022-01-06,P005,inventory,13,,0.1,False,0.0
2022-01-06,P006,inventory,35,,0.69,False,0.0
2022-01-06,P007,reorder,77,2022-01-10,1768.21,,
2022-01-10,P007,delivery,77,,0.0,,
2022-01-06,P007,inventory,0,,0.0,True,570.72
2022-01-06,P008,reorder,141,2022-01-15,9443.85,,
2022-01-15,P008,delivery,141,,0.0,,
2022-01-06,P008,inventory,0,,0.0,True,3351.88
2022-01-06,P009,reorder,136,2022-01-09,1044.52,,
2022-01-09,P009,delivery,136,,0.0,,
2022-01-06,P009,inventory,68,,0.52,False,0.0
2022-01-06,P010,reorder,118,2022-01-11,2461.58,,
2022-01-11,P010,delivery,118,,0.0,,
2022-01-06,P010,inventory,0,,0.0,True,577.15
2022-01-07,P001,reorder,77,2022-01-14,4418.26,,
2022-01-14,P001,delivery,77,,0.0,,
2022-01-07,P001,inventory,0,,0.0,True,2295.48
2022-01-07,P002,inventory,58,,1.07,False,0.0
2022-01-07,P003,reorder,56,2022-01-15,1767.91,,
2022-01-15,P003,delivery,56,,0.0,,
2022-01-07,P003,inventory,0,,0.0,True,867.71
2022-01-07,P004,reorder,131,2022-01-10,849.19,,
2022-01-10,P004,delivery,131,,0.0,,
2022-01-07,P004,inventory,0,,0.0,True,11.51
2022-01-07,P005,reorder,116,2022-01-08,940.56,,
2022-01-08,P005,delivery,116,,0.0,,
2022-01-07,P005,inventory,0,,0.0,True,195.85
2022-01-07,P006,reorder,132,2022-01-15,3874.3,,
2022-01-15,P006,delivery,132,,0.0,,
2022-01-07,P006,inventory,0,,0.0,True,324.14
2022-01-07,P007,reorder,134,2022-01-11,3062.97,,
2022-01-11,P007,delivery,134,,0.0,,
2022-01-07,P007,inventory,0,,0.0,True,377.41
2022-01-07,P008,reorder,141,2022-01-16,9443.85,,
2022-01-16,P008,delivery,141,,0.0,,
2022-01-07,P008,inventory,0,,0.0,True,3402.67
2022-01-07,P009,inventory,343,,2.63,False,0.0
2022-01-07,P010,reorder,63,2022-01-11,1323.91,,
2022-01-11,P010,delivery,63,,0.0,,
2022-01-07,P010,inventory,0,,0.0,True,519.44
2022-01-08,P001,reorder,99,2022-01-17,5665.66,,
2022-01-17,P001,delivery,99,,0.0,,
2022-01-08,P001,inventory,0,,0.0,True,2678.06
2022-01-08,P002,reorder,138,2022-01-16,3956.44,,
2022-01-16,P002,delivery,138,,0.0,,
2022-01-08,P002,inventory,0,,0.0,True,30.77
2022-01-08,P003,inventory,31,,0.69,False,0.0
2022-01-08,P004,inventory,49,,0.29,False,0.0
2022-01-08,P005,reorder,148,2022-01-11,1195.69,,
2022-01-11,P005,delivery,148,,0.0,,
2022-01-08,P005,inventory,207,,1.65,False,0.0
2022-01-08,P006,reorder,98,2022-01-15,2884.7,,
2022-01-15,P006,delivery,98,,0.0,,
2022-01-08,P006,inventory,0,,0.0,True,1108.89
2022-01-08,P007,inventory,167,,2.02,False,0.0
2022-01-08,P008,reorder,81,2022-01-15,5445.03,,
2022-01-15,P008,delivery,81,,0.0,,
2022-01-08,P008,inventory,0,,0.0,True,304.72
2022-01-08,P009,inventory,273,,2.1,False,0.0
2022-01-08,P010,reorder,80,2022-01-10,1675.55,,
2022-01-10,P010,delivery,80,,0.0,,
2022-01-08,P010,inventory,18,,0.21,False,0.0
2022-01-09,P001,inventory,85,,3.6,False,0.0
2022-01-09,P002,reorder,53,2022-01-15,1538.36,,
2022-01-15,P002,delivery,53,,0.0,,
2022-01-09,P002,inventory,69,,1.27,False,0.0
2022-01-09,P003,reorder,51,2022-01-12,1612.48,,
2022-01-12,P003,delivery,51,,0.0,,
2022-01-09,P003,inventory,0,,0.0,True,301.81
2022-01-09,P004,reorder,93,2022-01-12,606.87,,
2022-01-12,P004,delivery,93,,0.0,,
2022-01-09,P004,inventory,0,,0.0,True,5.75
2022-01-09,P005,inventory,381,,3.03,False,0.0
2022-01-09,P006,inventory,94,,1.85,False,0.0
2022-01-09,P007,inventory,120,,1.45,False,0.0
2022-01-09,P008,reorder,62,2022-01-13,4178.74,,
2022-01-13,P008,delivery,62,,0.0,,
2022-01-09,P008,inventory,0,,0.0,True,2945.59
2022-01-09,P009,inventory,207,,1.59,False,0.0
2022-01-09,P010,reorder,135,2022-01-12,2813.23,,
2022-01-12,P010,delivery,135,,0.0,,
2022-01-09,P010,inventory,0,,0.0,True,375.15
2022-01-10,P001,inventory,55,,2.33,False,0.0
2022-01-10,P002,reorder,71,2022-01-19,2050.42,,
2022-01-19,P002,delivery,71,,0.0,,
2022-01-10,P002,inventory,6,,0.11,False,0.0
2022-01-10,P003,reorder,55,2022-01-18,1736.82,,
2022-01-18,P003,delivery,55,,0.0,,
2022-01-10,P003,inventory,0,,0.0,True,471.58
2022-01-10,P004,reorder,103,2022-01-12,670.64,,
2022-01-12,P004,delivery,103,,0.0,,
2022-01-10,P004,inventory,5,,0.03,False,0.0
2022-01-10,P005,inventory,333,,2.65,False,0.0
2022-01-10,P006,inventory,150,,2.95,False,0.0
2022-01-10,P007,inventory,61,,0.74,False,0.0
2022-01-10,P008,reorder,130,2022-01-17,8710.74,,
2022-01-17,P008,delivery,130,,0.0,,
2022-01-10,P008,inventory,18,,0.93,False,0.0
2022-01-10,P009,inventory,284,,2.18,False,0.0
2022-01-10,P010,inventory,197,,2.28,False,0.0
2022-01-11,P001,inventory,88,,3.73,False,0.0
2022-01-11,P002,reorder,104,2022-01-16,2989.2,,
2022-01-16,P002,delivery,104,,0.0,,
2022-01-11,P002,inventory,0,,0.0,True,630.86
2022-01-11,P003,reorder,65,2022-01-18,2047.69,,
2022-01-18,P003,delivery,65,,0.0,,
2022-01-11,P003,inventory,0,,0.0,True,943.17
2022-01-11,P004,inventory,88,,0.52,False,0.0
2022-01-11,P005,inventory,402,,3.2,False,0.0
2022-01-11,P006,inventory,88,,1.73,False,0.0
2022-01-11,P007,reorder,133,2022-01-15,3040.25,,
2022-01-15,P007,delivery,133,,0.0,,
2022-01-11,P007,inventory,159,,1.93,False,0.0
2022-01-11,P008,reorder,90,2022-01-19,6044.86,,
2022-01-19,P008,delivery,90,,0.0,,
2022-01-11,P008,inventory,17,,0.88,False,0.0
2022-01-11,P009,reorder,77,2022-01-13,598.06,,
2022-01-13,P009,delivery,77,,0.0,,
2022-01-11,P009,inventory,235,,1.8,False,0.0
2022-01-11,P010,inventory,364,,4.22,False,0.0
2022-01-12,P001,inventory,34,,1.44,False,0.0
2022-01-12,P002,inventory,172,,3.17,False,0.0
2022-01-12,P003,inventory,205,,4.57,False,0.0
2022-01-12,P004,reorder,97,2022-01-14,632.38,,
2022-01-14,P004,delivery,97,,0.0,,
2022-01-12,P004,inventory,25,,0.15,False,0.0
2022-01-12,P005,reorder,77,2022-01-15,629.61,,
2022-01-15,P005,delivery,77,,0.0,,
2022-01-12,P005,inventory,491,,3.91,False,0.0
2022-01-12,P006,reorder,102,2022-01-16,3001.12,,
2022-01-16,P006,delivery,102,,0.0,,
2022-01-12,P006,inventory,22,,0.43,False,0.0
2022-01-12,P007,inventory,242,,2.93,False,0.0
2022-01-12,P008,reorder,126,2022-01-19,8444.15,,
2022-01-19,P008,delivery,126,,0.0,,
2022-01-12,P008,inventory,27,,1.4,False,0.0
2022-01-12,P009,inventory,194,,1.49,False,0.0
2022-01-12,P010,inventory,492,,5.7,False,0.0
2022-01-13,P001,inventory,123,,5.21,False,0.0
2022-01-13,P002,inventory,115,,2.12,False,0.0
2022-01-13,P003,inventory,380,,8.47,False,0.0
2022-01-13,P004,inventory,164,,0.97,False,0.0
2022-01-13,P005,inventory,428,,3.41,False,0.0
2022-01-13,P006,reorder,62,2022-01-17,1836.88,,
2022-01-17,P006,delivery,62,,0.0,,
2022-01-13,P006,inventory,0,,0.0,True,528.86
2022-01-13,P007,inventory,187,,2.27,False,0.0
2022-01-13,P008,reorder,130,2022-01-20,8710.74,,
2022-01-20,P008,delivery,130,,0.0,,
2022-01-13,P008,inventory,0,,0.0,True,1218.87
2022-01-13,P009,inventory,133,,1.02,False,0.0
2022-01-13,P010,inventory,577,,6.68,False,0.0
2022-01-14,P001,inventory,66,,2.8,False,0.0
2022-01-14,P002,inventory,72,,1.33,False,0.0
2022-01-14,P003,inventory,315,,7.02,False,0.0
2022-01-14,P004,inventory,106,,0.62,False,0.0
2022-01-14,P005,inventory,383,,3.05,False,0.0
2022-01-14,P006,reorder,90,2022-01-22,2651.85,,
2022-01-22,P006,delivery,90,,0.0,,
2022-01-14,P006,inventory,0,,0.0,True,1211.25
2022-01-14,P007,inventory,125,,1.52,False,0.0
2022-01-14,P008,reorder,135,2022-01-19,9043.97,,
2022-01-19,P008,delivery,135,,0.0,,
2022-01-14,P008,inventory,3,,0.16,False,0.0
2022-01-14,P009,inventory,153,,1.17,False,0.0
2022-01-14,P010,inventory,516,,5.98,False,0.0
2022-01-15,P001,inventory,74,,3.14,False,0.0
2022-01-15,P002,reorder,124,2022-01-20,3558.16,,
2022-01-20,P002,delivery,124,,0.0,,
2022-01-15,P002,inventory,18,,0.33,False,0.0
2022-01-15,P003,inventory,264,,5.89,False,0.0
2022-01-15,P004,inventory,153,,0.9,False,0.0
2022-01-15,P005,inventory,325,,2.59,False,0.0
2022-01-15,P006,reorder,114,2022-01-21,3350.4,,
2022-01-21,P006,delivery,114,,0.0,,
2022-01-15,P006,inventory,0,,0.0,True,750.64
2022-01-15,P007,inventory,70,,0.85,False,0.0
2022-01-15,P008,reorder,51,2022-01-21,3445.62,,
2022-01-21,P008,delivery,51,,0.0,,
2022-01-15,P008,inventory,0,,0.0,True,2386.95
2022-01-15,P009,inventory,88,,0.68,False,0.0
2022-01-15,P010,inventory,464,,5.38,False,0.0
2022-01-16,P001,inventory,74,,3.14,False,0.0
2022-01-16,P002,inventory,142,,2.61,False,0.0
2022-01-16,P003,inventory,255,,5.68,False,0.0
2022-01-16,P004,inventory,106,,0.62,False,0.0
2022-01-16,P005,inventory,336,,2.68,False,0.0
2022-01-16,P006,inventory,177,,3.48,False,0.0
2022-01-16,P007,inventory,159,,1.93,False,0.0
2022-01-16,P008,inventory,153,,7.91,False,0.0
2022-01-16,P009,inventory,32,,0.25,False,0.0
2022-01-16,P010,inventory,420,,4.87,False,0.0
2022-01-17,P001,reorder,54,2022-01-24,3114.16,,
2022-01-24,P001,delivery,54,,0.0,,
2022-01-17,P001,inventory,21,,0.89,False,0.0
2022-01-17,P002,inventory,333,,6.13,False,0.0
2022-01-17,P003,inventory,187,,4.17,False,0.0
2022-01-17,P004,inventory,57,,0.34,False,0.0
2022-01-17,P005,inventory,290,,2.31,False,0.0
2022-01-17,P006,inventory,220,,4.32,False,0.0
2022-01-17,P007,inventory,122,,1.48,False,0.0
2022-01-17,P008,inventory,251,,12.97,False,0.0
2022-01-17,P009,reorder,150,2022-01-20,1150.45,,
2022-01-20,P009,delivery,150,,0.0,,
2022-01-17,P009,inventory,0,,0.0,True,160.11
2022-01-17,P010,inventory,371,,4.3,False,0.0
2022-01-18,P001,inventory,71,,3.01,False,0.0
2022-01-18,P002,inventory,290,,5.34,False,0.0
2022-01-18,P003,inventory,133,,2.96,False,0.0
2022-01-18,P004,reorder,86,2022-01-22,562.23,,
2022-01-22,P004,delivery,86,,0.0,,
2022-01-18,P004,inventory,13,,0.08,False,0.0
2022-01-18,P005,inventory,242,,1.93,False,0.0
2022-01-18,P006,inventory,218,,4.29,False,0.0
2022-01-18,P007,inventory,73,,0.89,False,0.0
2022-01-18,P008,inventory,331,,17.11,False,0.0
2022-01-18,P009,reorder,76,2022-01-20,590.5,,
2022-01-20,P009,delivery,76,,0.0,,
2022-01-18,P009,inventory,0,,0.0,True,243.13
2022-01-18,P010,inventory,306,,3.55,False,0.0
2022-01-19,P001,reorder,135,2022-01-24,7706.86,,
2022-01-24,P001,delivery,135,,0.0,,
2022-01-19,P001,inventory,22,,0.93,False,0.0
2022-01-19,P002,inventory,241,,4.44,False,0.0
2022-01-19,P003,inventory,190,,4.24,False,0.0
2022-01-19,P004,reorder,139,2022-01-21,900.21,,
2022-01-21,P004,delivery,139,,0.0,,
2022-01-19,P004,inventory,0,,0.0,True,253.18
2022-01-19,P005,inventory,202,,1.61,False,0.0
2022-01-19,P006,inventory,173,,3.4,False,0.0
2022-01-19,P007,inventory,30,,0.36,False,0.0
2022-01-19,P008,inventory,284,,14.68,False,0.0
2022-01-19,P009,reorder,106,2022-01-21,817.51,,
2022-01-21,P009,delivery,106,,0.0,,
2022-01-19,P009,inventory,0,,0.0,True,302.43
2022-01-19,P010,inventory,247,,2.86,False,0.0
2022-01-20,P001,reorder,58,2022-01-28,3340.96,,
2022-01-28,P001,delivery,58,,0.0,,
2022-01-20,P001,inventory,0,,0.0,True,841.68
2022-01-20,P002,inventory,256,,4.71,False,0.0
2022-01-20,P003,inventory,126,,2.81,False,0.0
2022-01-20,P004,reorder,74,2022-01-21,485.7,,
2022-01-21,P004,delivery,74,,0.0,,
2022-01-20,P004,inventory,0,,0.0,True,212.9
2022-01-20,P005,inventory,144,,1.15,False,0.0
2022-01-20,P006,inventory,103,,2.02,False,0.0
2022-01-20,P007,reorder,76,2022-01-27,1745.5,,
2022-01-27,P007,delivery,76,,0.0,,
2022-01-20,P007,inventory,0,,0.0,True,184.1
2022-01-20,P008,inventory,576,,29.77,False,0.0
2022-01-20,P009,reorder,72,2022-01-24,560.23,,
2022-01-24,P009,delivery,72,,0.0,,
2022-01-20,P009,inventory,0,,0.0,True,332.08
2022-01-20,P010,inventory,183,,2.12,False,0.0
2022-01-21,P001,reorder,76,2022-01-28,4361.56,,
2022-01-28,P001,delivery,76,,0.0,,
2022-01-21,P001,inventory,0,,0.0,True,2218.96
2022-01-21,P002,inventory,327,,6.02,False,0.0
2022-01-21,P003,inventory,70,,1.56,False,0.0
2022-01-21,P004,reorder,142,2022-01-24,919.34,,
2022-01-24,P004,delivery,142,,0.0,,
2022-01-21,P004,inventory,0,,0.0,True,212.9
2022-01-21,P005,inventory,91,,0.72,False,0.0
2022-01-21,P006,inventory,43,,0.85,False,0.0
2022-01-21,P007,reorder,75,2022-01-24,1722.78,,
2022-01-24,P007,delivery,75,,0.0,,
2022-01-21,P007,inventory,0,,0.0,True,552.31
2022-01-21,P008,inventory,645,,33.34,False,0.0
2022-01-21,P009,inventory,182,,1.4,False,0.0
2022-01-21,P010,inventory,121,,1.4,False,0.0
2022-01-22,P001,reorder,86,2022-02-03,4928.56,,
2022-02-03,P001,delivery,86,,0.0,,
2022-01-22,P001,inventory,0,,0.0,True,2792.83
2022-01-22,P002,inventory,275,,5.06,False,0.0
2022-01-22,P003,reorder,131,2022-01-26,4099.44,,
2022-01-26,P003,delivery,131,,0.0,,
2022-01-22,P003,inventory,24,,0.54,False,0.0
2022-01-22,P004,inventory,169,,0.99,False,0.0
2022-01-22,P005,inventory,37,,0.29,False,0.0
2022-01-22,P006,inventory,103,,2.02,False,0.0
2022-01-22,P007,reorder,96,2022-01-26,2199.8,,
2022-01-26,P007,delivery,96,,0.0,,
2022-01-22,P007,inventory,0,,0.0,True,441.85
2022-01-22,P008,inventory,645,,33.34,False,0.0
2022-01-22,P009,inventory,233,,1.79,False,0.0
2022-01-22,P010,inventory,49,,0.57,False,0.0
2022-01-23,P001,reorder,114,2022-01-26,6516.16,,
2022-01-26,P001,delivery,114,,0.0,,
2022-01-23,P001,inventory,0,,0.0,True,2180.71
2022-01-23,P002,inventory,218,,4.01,False,0.0
2022-01-23,P003,reorder,105,2022-01-29,3291.17,,
2022-01-29,P003,delivery,105,,0.0,,
2022-01-23,P003,inventory,0,,0.0,True,848.85
2022-01-23,P004,inventory,202,,1.19,False,0.0
2022-01-23,P005,reorder,111,2022-01-24,900.69,,
2022-01-24,P005,delivery,111,,0.0,,
2022-01-23,P005,inventory,0,,0.0,True,123.31
2022-01-23,P006,reorder,98,2022-01-29,2884.7,,
2022-01-29,P006,delivery,98,,0.0,,
2022-01-23,P006,inventory,126,,2.48,False,0.0
2022-01-23,P007,reorder,104,2022-01-27,2381.52,,
2022-01-27,P007,delivery,104,,0.0,,
2022-01-23,P007,inventory,0,,0.0,True,239.34
2022-01-23,P008,inventory,596,,30.8,False,0.0
2022-01-23,P009,inventory,183,,1.4,False,0.0
2022-01-23,P010,reorder,88,2022-01-26,1841.03,,
2022-01-26,P010,delivery,88,,0.0,,
2022-01-23,P010,inventory,7,,0.08,False,0.0
2022-01-24,P001,reorder,126,2022-01-29,7196.56,,
2022-01-29,P001,delivery,126,,0.0,,
2022-01-24,P001,inventory,0,,0.0,True,2142.45
2022-01-24,P002,inventory,163,,3.0,False,0.0
2022-01-24,P003,reorder,120,2022-01-30,3757.48,,
2022-01-30,P003,delivery,120,,0.0,,
2022-01-24,P003,inventory,0,,0.0,True,1226.12
2022-01-24,P004,inventory,161,,0.95,False,0.0
2022-01-24,P005,reorder,82,2022-01-25,669.48,,
2022-01-25,P005,delivery,82,,0.0,,
2022-01-24,P005,inventory,0,,0.0,True,348.18
2022-01-24,P006,inventory,74,,1.45,False,0.0
2022-01-24,P007,reorder,89,2022-01-28,2040.79,,
2022-01-28,P007,delivery,89,,0.0,,
2022-01-24,P007,inventory,0,,0.0,True,405.03
2022-01-24,P008,inventory,531,,27.44,False,0.0
2022-01-24,P009,inventory,141,,1.08,False,0.0
2022-01-24,P010,reorder,127,2022-01-29,2647.75,,
2022-01-29,P010,delivery,127,,0.0,,
2022-01-24,P010,inventory,0,,0.0,True,577.15
2022-01-25,P001,inventory,135,,5.72,False,0.0
2022-01-25,P002,inventory,113,,2.08,False,0.0
2022-01-25,P003,reorder,141,2022-02-05,4410.31,,
2022-02-05,P003,delivery,141,,0.0,,
2022-01-25,P003,inventory,0,,0.0,True,1188.39
2022-01-25,P004,inventory,270,,1.59,False,0.0
2022-01-25,P005,inventory,48,,0.38,False,0.0
2022-01-25,P006,reorder,74,2022-01-31,2186.16,,
2022-01-31,P006,delivery,74,,0.0,,
2022-01-25,P006,inventory,14,,0.28,False,0.0
2022-01-25,P007,reorder,114,2022-01-29,2608.67,,
2022-01-29,P007,delivery,114,,0.0,,
2022-01-25,P007,inventory,33,,0.4,False,0.0
2022-01-25,P008,inventory,475,,24.55,False,0.0
2022-01-25,P009,inventory,166,,1.27,False,0.0
2022-01-25,P010,reorder,101,2022-01-29,2109.94,,
2022-01-29,P010,delivery,101,,0.0,,
2022-01-25,P010,inventory,0,,0.0,True,702.2
2022-01-26,P001,inventory,81,,3.43,False,0.0
2022-01-26,P002,inventory,64,,1.18,False,0.0
2022-01-26,P003,reorder,145,2022-02-01,4534.65,,
2022-02-01,P003,delivery,145,,0.0,,
2022-01-26,P003,inventory,0,,0.0,True,1395.89
2022-01-26,P004,inventory,217,,1.28,False,0.0
2022-01-26,P005,inventory,69,,0.55,False,0.0
2022-01-26,P006,reorder,132,2022-01-31,3874.3,,
2022-01-31,P006,delivery,132,,0.0,,
2022-01-26,P006,inventory,0,,0.0,True,801.82
2022-01-26,P007,reorder,125,2022-01-31,2858.53,,
2022-01-31,P007,delivery,125,,0.0,,
2022-01-26,P007,inventory,0,,0.0,True,276.16
2022-01-26,P008,inventory,432,,22.33,False,0.0
2022-01-26,P009,inventory,116,,0.89,False,0.0
2022-01-26,P010,reorder,65,2022-01-31,1365.28,,
2022-01-31,P010,delivery,65,,0.0,,
2022-01-26,P010,inventory,0,,0.0,True,606.01
2022-01-27,P001,inventory,145,,6.15,False,0.0
2022-01-27,P002,reorder,122,2022-02-03,3501.27,,
2022-02-03,P002,delivery,122,,0.0,,
2022-01-27,P002,inventory,0,,0.0,True,476.99
2022-01-27,P003,inventory,67,,1.49,False,0.0
2022-01-27,P004,inventory,176,,1.04,False,0.0
2022-01-27,P005,reorder,82,2022-01-29,669.48,,
2022-01-29,P005,delivery,82,,0.0,,
2022-01-27,P005,inventory,26,,0.21,False,0.0
2022-01-27,P006,reorder,148,2022-02-04,4340.0,,
2022-02-04,P006,delivery,148,,0.0,,
2022-01-27,P006,inventory,0,,0.0,True,1262.43
2022-01-27,P007,inventory,36,,0.44,False,0.0
2022-01-27,P008,inventory,362,,18.71,False,0.0
